customer_id,age
00012a2ce6f8dcda20d059ce98491703,61
000161a058600d5901f007fab4c27140,49
0001fd6190edaaf884bcaf3d49edf079,71
0002414f95344307404f0ace7a26f1d5,68
000379cdec625522490c315e70c7a9fb,61
0004164d20a9e969af783496f3408652,42
000419c5494106c306a97b5635748086,63
00046a560d407e99b969756e0b10f282,71
00050bf6e01e69d5c0fd612f1bcfb69c,40
000598caf2ef4117407665ac33275130,69
0005aefbb696d34b3424dccd0a0e9fd0,18
00062b33cb9f6fe976afdcff967ea74d,39
00066ccbe787a588c52bd5ff404590e3,51
00072d033fe2e59061ae5c3aff1a2be5,50
0009a69b72033b2d0ec8c69fc70ef768,21
000bf8121c3412d3057d32371c5d3395,59
000e943451fc2788ca6ac98a682f2f49,62
000f17e290c26b28549908a04cfe36c1,22
000fd45d6fedae68fc6676036610f879,22
0010068a73b7c56da5758c3f9e5c7375,43
001028b78fd413e19704b3867c369d3a,27
00104a47c29da701ce41ee52077587d9,28
001051abfcfdbed9f87b4266213a5df1,75
00114026c1b7b52ab1773f317ef4880b,22
001226b2341ef620415ce7bbafcfac28,64
0012a5c13793cf51e253f096a7e740dd,69
0013280441d86a4f7a8006efdaf1b0fe,67
0013cd8e350a7cc76873441e431dd5ee,72
001450ebb4a77efb3d68be5f7887cb1e,20
00146ad30454993879adaa91c518f68c,54
00155f0530cc7b2bf73cc3f81cb01c52,66
0015bc9fd2d5395446143e8b215d7c75,73
0015f7887e2fde13ddaa7b8e385af919,72
0017a0b4c1f1bdb9c395fa0ac517109c,36
0018c09f333634ca9c80d9ff46e43e9c,65
0018f7fde63ca77254dbc47f4ea358b2,50
0019c9aaad15b043c48f0a1180f22ce8,41
001a57041f56400917a187dd74e6cbc1,25
001b4e9b73aa98a6276b241bfd496822,22
001c7f05398c45b42eee0d5a77783bca,46
001df1ee5c36767aa607001ab1a13a06,36
001f150aebb5d897f2059b0460c38449,20
001f35d9f262c558fd065346fbf5801d,53
001f6f1a5e902ad14e1f709a7215de11,33
00205ad9ba1ef4340cef86583294cf82,49
002236c4f333bc8df6a5939749eb7869,68
002348c1099e3229276c8ad7d4ddc702,21
002408f390f729598bbac1ef9421c6ae,21
002450e9ea44cb90b8a07ba0b197e149,47
002554bdf9eb99618d8189c3a89fdd52,59
0026955706fd4e2fa997f3f4c18d485a,23
0026d252429f669d454d726e5e956aa1,36
002834b4d901534f48d9e9a72047b288,66
0028ff36263a86bf679df7c863a0a0ba,57
002905287304e28c0218389269b4759b,72
002937abdae13680e17dccd3868b4825,65
0029cdf064769cabdf3186b54d068c99,67
002a10e899b62a460b0116e0b68697ad,75
002b24cb2cd0c3e575040dbd278885e3,23
002c625393dfa194828b462a6ef8cb0b,38
002ce108ccf0356ef5c8b1dce3c0ae29,56
002d358e2462f87678443706cbf2eb21,27
002d597546b2cf44428232c9f237f873,60
002ebb669a34b9e79c88efc755e95322,59
002ef7e55600d44ead53f7c1644e5222,49
002f067b028a3643ad3a0969c7a0f3dc,70
002f90a6eb386bc43bc9ba200db31a89,59
002fb8fc5ce64f8422fa2fe79986c783,36
002ff70a5285669011090c077ef929af,35
00302a0b99783c3d1d1e81c616e321e8,53
0030aded3a67b29946a128ee8468388e,24
0030fbb95fbe7e61f798a80edb01a8e9,61
00314f95a054231742e3c5396b333b88,35
003177b3eeca50af17750f53802c9a09,35
0031abfb953b66e998f67b09e7b11375,47
0031c1062edf836ef7a7a7ea758b137b,30
00330644cccc5db0276fa836976306fe,52
00331de1659c7f4fb660c8810e6de3f5,37
0033823ee55671ac5317d423291333c2,27
0034f7933de3ead6bd9ba49afe95f119,57
003536ce5e18f1d12b9bf76932f8a6b1,23
0035b30e58c620fa2bd30275ddd4f7ef,69
